ID,x,y,z,rotX,rotY,rotZ,scale,建物名称,,
0,0,0.25,-100,0,0,0,0.05,地面,,
1,90,0,-60,0,0,0,0.05,カラオケ,,
3,30,0,-60,0,0,0,2.5,コンビニ,,
4,0,0,-100,0,0,0,0.03,発電機,,
5,0,0,-100,0,0,0,0.05,発電機(壊),,
6,-40,0,-15,0,-90,0,0.05,マンション(小),,
7,30,0,-10,0,0,0,1.2,マンション(大),,
6,40,0,-120,0,90,0,0.05,マンション(小),,
8,80,0,-140,0,180,0,0.08,ワクドナルド,,
6,-100,0,-60,0,0,0,0.05,マンション(小),,
9,-40,0,-60,0,0,0,0.05,アパート,,
9,70,0,-200,0,0,0,0.05,アパート,,
10,-60,0,-160,0,0,0,0.03,時計台,,
2,-30,0,-130,0,0,0,0.07,家,,
2,-30,0,-190,0,0,0,0.07,家,,
2,-100,0,-130,0,0,0,0.07,家,,
11,13,0,-10,0,90,0,0.8,,,
11,13,0,-50,0,90,0,0.8,,,
11,43,0,-85,0,90,0,0.8,,,
11,73,0,-85,0,90,0,0.8,,,
2,-100,0,-190,0,0,0,0.07,家,,
12,0,0,-190,0,0,0,0.007,電柱,,
13,0,30,-190,0,0,0,0.01,,,
0,0,0.25,-400,0,0,0,0.05,地面,,
1,90,0,-360,0,0,0,0.05,カラオケ,,
3,30,0,-360,0,0,0,2.5,コンビニ,,
4,0,0,-400,0,0,0,0.03,発電機,,
5,0,0,-400,0,0,0,0.05,発電機(壊),,
6,-40,0,-315,0,-90,0,0.05,マンション(小),,
7,30,0,-310,0,0,0,1.2,マンション(大),,
6,40,0,-420,0,90,0,0.05,マンション(小),,
8,80,0,-440,0,180,0,0.08,ワクドナルド,,
6,-100,0,-360,0,0,0,0.05,マンション(小),,
9,-40,0,-360,0,0,0,0.05,アパート,,
9,70,0,-500,0,0,0,0.05,アパート,,
10,-60,0,-460,0,0,0,0.03,時計台,,
2,-30,0,-430,0,0,0,0.07,家,,
2,-30,0,-490,0,0,0,0.07,家,,
2,-100,0,-430,0,0,0,0.07,家,,
2,-100,0,-490,0,0,0,0.07,家,,
12,0,0,-325,0,0,0,0.007,電柱,,
0,-300,0.25,-400,0,0,0,0.05,地面,,
1,-210,0,-360,0,0,0,0.05,カラオケ,,
3,-270,0,-360,0,0,0,2.5,コンビニ,,
4,-300,0,-400,0,0,0,0.03,発電機,,
5,-300,0,-400,0,0,0,0.05,発電機(壊),,
6,-340,0,-315,0,-90,0,0.05,マンション(小),,
7,-270,0,-310,0,0,0,1.2,マンション(大),,
6,-260,0,-420,0,90,0,0.05,マンション(小),,
8,-220,0,-440,0,180,0,0.08,ワクドナルド,,
6,-400,0,-360,0,0,0,0.05,マンション(小),,
9,-340,0,-360,0,0,0,0.05,アパート,,
9,-230,0,-500,0,0,0,0.05,アパート,,
10,-360,0,-460,0,0,0,0.03,時計台,,
2,-330,0,-430,0,0,0,0.07,家,,
2,-330,0,-490,0,0,0,0.07,家,,
2,-400,0,-430,0,0,0,0.07,家,,
2,-400,0,-490,0,0,0,0.07,家,,
0,-300,0.25,-700,0,0,0,0.05,地面,,
1,-210,0,-660,0,0,0,0.05,カラオケ,,
3,-270,0,-660,0,0,0,2.5,コンビニ,,
4,-300,0,-700,0,0,0,0.03,発電機,,
5,-300,0,-700,0,0,0,0.05,発電機(壊),,
6,-340,0,-615,0,-90,0,0.05,マンション(小),,
7,-270,0,-610,0,0,0,1.2,マンション(大),,
6,-260,0,-720,0,90,0,0.05,マンション(小),,
8,-220,0,-740,0,180,0,0.08,ワクドナルド,,
6,-400,0,-660,0,0,0,0.05,マンション(小),,
9,-340,0,-660,0,0,0,0.05,アパート,,
9,-230,0,-800,0,0,0,0.05,アパート,,
10,-360,0,-760,0,0,0,0.03,時計台,,
2,-330,0,-730,0,0,0,0.07,家,,
2,-330,0,-790,0,0,0,0.07,家,,
2,-400,0,-730,0,0,0,0.07,家,,
2,-400,0,-790,0,0,0,0.07,家,,
0,0,0.25,-700,0,0,0,0.05,地面,,
1,90,0,-660,0,0,0,0.05,カラオケ,,
3,30,0,-660,0,0,0,2.5,コンビニ,,
4,0,0,-700,0,0,0,0.03,発電機,,
5,0,0,-700,0,0,0,0.05,発電機(壊),,
6,-40,0,-615,0,-90,0,0.05,マンション(小),,
7,30,0,-610,0,0,0,1.2,マンション(大),,
6,40,0,-720,0,90,0,0.05,マンション(小),,
8,80,0,-740,0,180,0,0.08,ワクドナルド,,
6,-100,0,-660,0,0,0,0.05,マンション(小),,
9,-40,0,-660,0,0,0,0.05,アパート,,
9,70,0,-800,0,0,0,0.05,アパート,,
10,-60,0,-760,0,0,0,0.03,時計台,,
2,-30,0,-730,0,0,0,0.07,家,,
2,-30,0,-790,0,0,0,0.07,家,,
2,-100,0,-730,0,0,0,0.07,家,,
2,-100,0,-790,0,0,0,0.07,家,,
0,-600,0.25,-700,0,0,0,0.05,地面,,
1,-510,0,-660,0,0,0,0.05,カラオケ,,
3,-570,0,-660,0,0,0,2.5,コンビニ,,
4,-600,0,-700,0,0,0,0.03,発電機,,
5,-600,0,-700,0,0,0,0.05,発電機(壊),,
6,-640,0,-615,0,-90,0,0.05,マンション(小),,
7,-570,0,-610,0,0,0,1.2,マンション(大),,
6,-560,0,-720,0,90,0,0.05,マンション(小),,
8,-520,0,-740,0,180,0,0.08,ワクドナルド,,
6,-700,0,-660,0,0,0,0.05,マンション(小),,
9,-640,0,-660,0,0,0,0.05,アパート,,
9,-530,0,-800,0,0,0,0.05,アパート,,
10,-660,0,-760,0,0,0,0.03,時計台,,
2,-630,0,-730,0,0,0,0.07,家,,
2,-630,0,-790,0,0,0,0.07,家,,
2,-700,0,-730,0,0,0,0.07,家,,
2,-700,0,-790,0,0,0,0.07,家,,
0,-600,0.25,-1000,0,0,0,0.05,地面,,
1,-510,0,-960,0,0,0,0.05,カラオケ,,
3,-570,0,-960,0,0,0,2.5,コンビニ,,
4,-600,0,-1000,0,0,0,0.03,発電機,,
5,-600,0,-1000,0,0,0,0.05,発電機(壊),,
6,-640,0,-915,0,-90,0,0.05,マンション(小),,
7,-570,0,-910,0,0,0,1.2,マンション(大),,
6,-560,0,-1020,0,90,0,0.05,マンション(小),,
8,-520,0,-1040,0,180,0,0.08,ワクドナルド,,
6,-700,0,-960,0,0,0,0.05,マンション(小),,
9,-640,0,-960,0,0,0,0.05,アパート,,
9,-530,0,-1100,0,0,0,0.05,アパート,,
10,-660,0,-1060,0,0,0,0.03,時計台,,
2,-630,0,-1030,0,0,0,0.07,家,,
2,-630,0,-1090,0,0,0,0.07,家,,
2,-700,0,-1030,0,0,0,0.07,家,,
2,-700,0,-1090,0,0,0,0.07,家,,
0,-600,0.25,-1300,0,0,0,0.05,地面,,
1,-510,0,-1260,0,0,0,0.05,カラオケ,,
3,-570,0,-1260,0,0,0,2.5,コンビニ,,
4,-600,0,-1300,0,0,0,0.03,発電機,,
5,-600,0,-1300,0,0,0,0.05,発電機(壊),,
6,-640,0,-1215,0,-90,0,0.05,マンション(小),,
7,-570,0,-1210,0,0,0,1.2,マンション(大),,
6,-560,0,-1320,0,90,0,0.05,マンション(小),,
8,-520,0,-1340,0,180,0,0.08,ワクドナルド,,
6,-700,0,-1260,0,0,0,0.05,マンション(小),,
9,-640,0,-1260,0,0,0,0.05,アパート,,
9,-530,0,-1400,0,0,0,0.05,アパート,,
10,-660,0,-1360,0,0,0,0.03,時計台,,
